Lucas Lucco;Sertanejo;125000;06cd30Cv9US973Ika84gDw;;;;;;;;;;;
Ludimilla;Funk;135000;3CDoRporvSjdzTrm99a3gi;;;;;;;;;;;
Lulu Santos;Pop Rock;300000;0A1oy7PC7fdzURgaLaWkL1;;;;;;;;;;;
Maiara e Maraisa;Sertanejo;200000;59jlthNnbmim5l9tmNA7se;;;;;;;;;;;
Make U Sweat;Eletronico;40000;2REtZ0a1gh5LzXswkSkQUp;;;;;;;;;;;
Marcelo D2;Hip Hop;80000;1vEN3d3dJbmdHQpXD6AIkL;;;;;;;;;;;
Marcos e Belutti;Sertanejo;120000;0NsJZ5PMjqghGDuMzY7CuT;;;;;;;;;;;
Maria Cecilia e Rodolfo;Sertanejo;65000;1oOTUMbydEi6ogss5Klsom;;;;;;;;;;;
Marilia Mendonça;Sertanejo;400000;1yR65psqiazQpeM79CcGh8;;;;;;;;;;;
Matheus e Kauan;Sertanejo;200000;2Z0lRIqr997lIUiPtrpKCr;;;;;;;;;;;
MC Bola;Funk;18000;4ulY4o7oEoqJlqc0V6R3Bc;;;;;;;;;;;
MC Brinquedo;Funk;8000;1SZXYhJz4sqEss888VmWLP;;;;;;;;;;;
MC Brisola;Funk;15000;2civFPMAiigAwTEUKkeRW2;;;;;;;;;;;
MC Davi;Funk;25000;1cYhx7ZOhYoVmnDPb9KMwo;;;;;;;;;;;
Mc Don Juan;Funk;33000;7Lmrb6KcIzfkmgbtokjsAL;;;;;;;;;;;
MC G15;Funk;23000;3Nipsl6GVwwGyeAk0J29C6;;;;;;;;;;;
MC Gui;Funk;25000;7E0NXeBm7iHldSxEFN4XJd;;;;;;;;;;;
MC Guime;Funk;30000;3ge4xOaKvWfhRwgx0Rldov;;;;;;;;;;;
Mc Gw;Funk;16000;0f1IECbrVV952unZkzrsg2;;;;;;;;;;;
MC Hariel;Funk;12000;0pcoadNMmvrUyab1RxWBoV;;;;;;;;;;;
MC IG;Funk;7000;2q9wk5fkeU2C9CgCKdh4AN;;;;;;;;;;;
Mc João;Funk;12000;0bNbdA9OJv2luvEQDYYyZP;;;;;;;;;;;
MC Kapela;Funk;9000;2MKq3nQOfCRUwxtmmAOpqR;;;;;;;;;;;
Mc Kevin;Funk;7000;5pBMkZNIlbGTH3hrsQJqAa;;;;;;;;;;;
MC Koringa;Funk;40000;1pk1stIyHnuK6lXZ8QiNKt;;;;;;;;;;;
Mc Leozinho;Funk;35000;2yf5bDosXW9OXQAlTVIXNr;;;;;;;;;;;
MC Livinho;Funk;60000;7me0S5Z40qVWj3gzyK8aC3;;;;;;;;;;;
Mc Marcinho;Funk;37000;3ZJCmnY5iUo1M0UFFWDXGf;;;;;;;;;;;
MC Menor da VG;Funk;12000;4maKTxhTIDEnWKra7wEIMR;;;;;;;;;;;
MC MM;Funk;11000;3a5ydeAaojKa3CHWe5PVWK;;;;;;;;;;;
Mc Nego Blue;Funk;8000;5weiAKislfmFCXTe79irxU;;;;;;;;;;;
Mc Neguinho do Kaxeta;Funk;7000;27mVhYvJa7apj1zCoZ9TF2;;;;;;;;;;;
Mc Pedrinho;Funk;17000;1etNnR2SdlelBQAICa2Q5m;;;;;;;;;;;
Mc Sapão;Funk;30000;4I4iP1ZXPT2eLo3R4cBPig;;;;;;;;;;;
MC Tati Zaqui;Funk;18000;0e68cnJyUTJu1nEuxxMSLm;;;;;;;;;;;
Michel Teló;Sertanejo;150000;1sDVuztNhGcetCLChkleDA;;;;;;;;;;;
Molejo;Samba;90000;7yl05GUXqcUA3mfpowr1fe;;;;;;;;;;;
Monobloco;Samba;90000;4EU2koSlyxLmiyslykCis5;;;;;;;;;;;
Mumuzinho;Samba;50000;34dfPo3Zi55yM6oV46q4y7;;;;;;;;;;;
Munhoz & Mariano;Sertanejo;120000;0OWtaM1z81DliQXntU4KaN;;;;;;;;;;;
Naldo Benny;Funk;20000;4xnFkvb5Pk259qAXQ6yrYU;;;;;;;;;;;
Nando Reis;Pop Rock;100000;7n1XMwvxPf10t4OX6h6Ufy;;;;;;;;;;;
Nego do Borel;Funk;92000;1B0Rp4SWGnFgGCPU5Pju6E;;;;;;;;;;;
Paralamas do Sucesso;Pop Rock;90000;7EM9m7HOXxVgP9oEpDDv70;;;;;;;;;;;
Péricles;Samba;120000;6gEzJZrbm0F4ihvE9iXR9z;;;;;;;;;;;
Pixote;Samba;33000;0ciLF0bOuu2BhqzCEZgHoB;;;;;;;;;;;
Pollo;Hip Hop;15000;6TgVQhHx0BWvzdEQxRnr23;;;;;;;;;;;
Preta Gil;Pop Rock;80000;1i2xi8v7H0aXgMNZcOaYzB;;;;;;;;;;;
Raça Negra;Samba;80000;1RnHJ07H3jcpay9PrUPjnt;;;;;;;;;;;
Raimundos;Pop Rock;40000;3CfJckVRuukdJSvK3r89yJ;;;;;;;;;;;
Saulo;Axe;145000;0l82Lk1LX5X2qqYuPSXTuf;;;;;;;;;;;
Seu Jorge;Pop Rock;270000;0i1s9WcIu0PrUvHzALgofo;;;;;;;;;;;
Simone & Simara;Sertanejo;300000;0MInKJqZscEeNc5K3K0mkE;;;;;;;;;;;
Skank;Pop Rock;190000;4C4kpaAdp6aKSkguw40SsU;;;;;;;;;;;
